Date(UTC),UnixTimeStamp,Price,Transaction Count,Transaction Date,
3/28/2016,1459123200,11.58,33613,2016-03-28 00:00:07 UTC,
3/29/2016,1459209600,11.73,33945,2016-03-29 00:00:02 UTC,
3/30/2016,1459296000,11.88,36737,2016-03-30 00:00:03 UTC,
3/31/2016,1459382400,11.41,32259,2016-03-31 00:00:07 UTC,
4/1/2016,1459468800,11.63,33320,2016-04-01 00:00:11 UTC,
4/2/2016,1459555200,11.61,29358,2016-04-02 00:00:06 UTC,
4/3/2016,1459641600,11.58,29588,2016-04-03 00:01:18 UTC,
4/4/2016,1459728000,11.1,34907,2016-04-04 00:00:07 UTC,
4/5/2016,1459814400,10.39,39173,2016-04-05 00:00:03 UTC,
4/6/2016,1459900800,10.79,32078,2016-04-06 00:00:26 UTC,
4/7/2016,1459987200,10.08,31893,2016-04-07 00:00:23 UTC,
4/8/2016,1460073600,9.74,34010,2016-04-08 00:00:06 UTC,
4/9/2016,1460160000,9.16,31923,2016-04-09 00:00:19 UTC,
4/10/2016,1460246400,8.8,32237,2016-04-10 00:00:19 UTC,
4/11/2016,1460332800,8.72,30327,2016-04-11 00:00:05 UTC,
4/12/2016,1460419200,7.53,34673,2016-04-12 00:00:04 UTC,
4/13/2016,1460505600,8.02,36051,2016-04-13 00:00:17 UTC,
4/14/2016,1460592000,8.48,34781,2016-04-14 00:00:01 UTC,
4/15/2016,1460678400,8.22,34959,2016-04-15 00:00:28 UTC,
4/16/2016,1460764800,8.48,30483,2016-04-16 00:00:16 UTC,
4/17/2016,1460851200,9.45,40203,2016-04-17 00:00:21 UTC,
4/18/2016,1460937600,8.92,33513,2016-04-18 00:00:05 UTC,
4/19/2016,1461024000,8.77,32622,2016-04-19 00:00:11 UTC,
4/20/2016,1461110400,8.54,32944,2016-04-20 00:00:07 UTC,
4/21/2016,1461196800,8.15,37181,2016-04-21 00:00:04 UTC,
4/22/2016,1461283200,7.83,31678,2016-04-22 00:01:09 UTC,
4/23/2016,1461369600,8.31,31845,2016-04-23 00:00:12 UTC,
4/24/2016,1461456000,8,34046,2016-04-24 00:00:02 UTC,
4/25/2016,1461542400,7.43,35430,2016-04-25 00:00:07 UTC,
4/26/2016,1461628800,7.5,32582,2016-04-26 00:00:23 UTC,
4/27/2016,1461715200,7.77,33847,2016-04-27 00:00:13 UTC,
4/28/2016,1461801600,7.3,34343,2016-04-28 00:00:10 UTC,
4/29/2016,1461888000,7.51,37332,2016-04-29 00:00:09 UTC,
4/30/2016,1461974400,8.83,45769,2016-04-30 00:00:12 UTC,
5/1/2016,1462060800,8.76,39578,2016-05-01 00:00:18 UTC,
5/2/2016,1462147200,10.03,41748,2016-05-02 00:00:30 UTC,
5/3/2016,1462233600,9.37,37821,2016-05-03 00:00:53 UTC,
5/4/2016,1462320000,9.43,37484,2016-05-04 00:00:24 UTC,
5/5/2016,1462406400,9.79,38707,2016-05-05 00:00:06 UTC,
5/6/2016,1462492800,9.27,41271,2016-05-06 00:00:10 UTC,
5/7/2016,1462579200,9.3,35864,2016-05-07 00:00:11 UTC,
5/8/2016,1462665600,9.44,40063,2016-05-08 00:00:06 UTC,
