date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2013-01-02,,5,3,6,,5e-05,1e-05,,,
2013-01-03,,10,6,8,,0.0001,1e-05,,,
2013-01-04,,16,6,9,,0.00016,1e-05,,,
2013-01-05,,18,5,11,,0.00018,1e-05,,,
2013-01-06,,23,6,7,,0.00023,1e-05,,,
2013-01-07,,13,3,8,,0.00013,1e-05,,,
2013-01-08,,68,15,15,,0.00068,1e-05,,,
2013-01-09,,32,14,20,,0.00032,1e-05,,,
2013-01-10,,70,23,24,,0.0007,1e-05,,,
2013-01-11,,19,5,14,,0.00019,1e-05,,,
2013-01-12,,23,6,7,,0.00023,1e-05,,,
2013-01-13,,25,10,6,,0.00025,1e-05,,,
2013-01-14,,14,4,10,,0.00014,1e-05,,,
2013-01-15,,67,15,22,,0.00067,1e-05,,,
2013-01-16,,62,20,21,,0.00062,1e-05,,,
2013-01-17,,88,28,19,,0.00088,1e-05,,,
2013-01-18,,80,13,21,,0.0008,1e-05,,,
2013-01-19,,32,6,14,,0.00032,1e-05,,,
2013-01-20,,14,3,6,,0.00014,1e-05,,,
2013-01-21,,29,4,12,,0.00029,1e-05,,,
2013-01-22,,47,17,26,,0.00047,1e-05,,,
2013-01-23,,98,12,26,,0.00098,1e-05,,,
2013-01-24,,41,9,18,,0.00041,1e-05,,,
2013-01-25,,38,13,19,,0.00038,1e-05,,,
2013-01-26,,43,29,34,,0.00043,1e-05,,,
2013-01-27,,29,8,15,,0.00029,1e-05,,,
2013-01-28,,28,8,13,,0.00028,1e-05,,,
2013-01-29,,60,5,12,,0.0006,1e-05,,,
2013-01-30,,52,16,19,,0.00052,1e-05,,,
2013-01-31,,45,14,23,,0.00045,1e-05,,,
2013-02-01,,21,3,14,,0.00021,1e-05,,,
2013-02-02,,39,6,8,,0.00039,1e-05,,,
2013-02-03,,6,3,4,,6e-05,1e-05,,,
2013-02-04,,5,4,10,,5e-05,1e-05,,,
2013-02-05,,14,3,8,,0.00014,1e-05,,,
2013-02-06,,15,14,17,,0.00015,1e-05,,,
2013-02-07,,57,25,31,,0.00057,1e-05,,,
2013-02-08,,73,36,45,,0.00073,1e-05,,,
2013-02-09,,86,30,31,,0.00086,1e-05,,,
2013-02-10,,254,32,45,,0.00254,1e-05,,,
2013-02-11,,230,72,51,,0.0023,1e-05,,,
2013-02-12,,377,65,62,,0.00377,1e-05,,,
2013-02-13,,212,16,33,,0.00212,1e-05,,,
2013-02-14,,658,19,31,,0.00658,1e-05,,,
2013-02-15,,297,32,44,,0.00297,1e-05,,,
2013-02-16,,236,16,41,,0.00236,1e-05,,,
2013-02-17,,278,4,19,,0.00278,1e-05,,,
2013-02-18,,77,24,25,,0.00077,1e-05,,,
2013-02-19,,249,24,19,,0.00249,1e-05,,,
2013-02-20,,208,74,62,,0.00208,1e-05,,,
2013-02-21,,926,346,318,,0.00926,1e-05,,,
2013-02-22,,1262,64,91,,0.01262,1e-05,,,
2013-02-23,,1736,420,314,,0.01736,1e-05,,,
2013-02-24,,695,141,99,,0.00695,1e-05,,,
2013-02-25,,566,191,230,,0.00566,1e-05,,,
2013-02-26,,791,187,219,,0.00791,1e-05,,,
2013-02-27,,1209,338,297,,0.01209,1e-05,,,
2013-02-28,,2118,198,185,,0.02118,1e-05,,,
2013-03-01,,786,189,185,,0.00786,1e-05,,,
